# Time	X	Y	Z
0	0	0	0
0.0001	0	2.8778e-10	-3.84058e-11
0.0002	0	8.26036e-10	-1.25977e-10
0.0003	0	1.78664e-09	-3.06268e-10
0.0004	0	3.3097e-09	-6.52201e-10
0.0005	0	5.62933e-09	-1.3062e-09
0.0006	0	8.98401e-09	-2.55975e-09
0.0007	0	1.37901e-08	-4.97941e-09
0.0008	0	2.05146e-08	-9.67267e-09
0.0009	0	2.97814e-08	-1.8795e-08
0.001	0	4.25618e-08	-3.64361e-08
0.0011	0	5.99622e-08	-7.00596e-08
0.0012	0	8.352e-08	-1.32601e-07
0.0013	0	1.15207e-07	-2.45044e-07
0.0014	0	1.57356e-07	-4.38852e-07
0.0015	0	2.1266e-07	-7.57156e-07
0.0016	0	2.83658e-07	-1.25333e-06
0.0017	0	3.72432e-07	-1.98582e-06
0.0018	0	4.80702e-07	-3.00941e-06
0.0019	0	6.08832e-07	-4.36468e-06
0.002	0	7.56989e-07	-6.06887e-06
