# Time	forces(pressure, viscous) moment(pressure, viscous)
0.1	(((0.158657 -0.380957 0.383247) (0.00215569 0.00311931 -0.00191372)) ((-0.0382148 -0.0149477 0.0025542) (0.000267199 -0.000439616 0.00024135)))
0.2	(((0.549369 -1.2802 1.27849) (0.0107362 0.00794329 -0.00471792)) ((-0.128408 -0.0523702 0.00846084) (0.000680815 -0.00207332 0.000845187)))
0.3	(((1.03813 -2.18614 2.16208) (0.0311677 0.00898624 -0.00490134)) ((-0.219325 -0.100919 0.0145937) (0.000782696 -0.00561806 0.0012451)))
0.4	(((1.55325 -2.88715 2.82418) (0.0673335 0.00879661 -0.00376363)) ((-0.289897 -0.154595 0.0190116) (0.000811865 -0.0114586 0.000688605)))
0.5	(((2.04167 -3.32803 3.21262) (0.120112 0.0103017 -0.00283095)) ((-0.334551 -0.207695 0.0210919) (0.00102049 -0.0195609 -0.00133114)))
0.6	(((2.45148 -3.4838 3.30695) (0.186776 0.0135688 -0.00270234)) ((-0.350649 -0.25328 0.0208547) (0.00139347 -0.0294405 -0.00493954)))
0.7	(((2.73257 -3.33217 3.09942) (0.261167 0.0165666 -0.00383238)) ((-0.335818 -0.283949 0.0185575) (0.00171231 -0.0401975 -0.00991866)))
0.8	(((2.84346 -2.87003 2.60575) (0.334568 0.0178988 -0.0068365)) ((-0.289654 -0.293701 0.0145367) (0.0018239 -0.0506206 -0.0157739)))
0.9	(((2.75592 -2.12324 1.86953) (0.397118 0.0178617 -0.0121628)) ((-0.214808 -0.279494 0.00912414) (0.0017512 -0.0593638 -0.0217928)))
1	(((2.45585 -1.15298 0.95849) (0.439634 0.0186298 -0.0196713)) ((-0.117696 -0.241761 0.00260911) (0.00173746 -0.065182 -0.0271384)))
1.1	(((2.09362 -0.457669 0.349421) (0.456647 0.0276155 -0.0305101)) ((-0.0488994 -0.201853 -0.00163555) (0.002541 -0.0674049 -0.0306043)))
1.2	(((1.77654 -0.250705 0.22303) (0.448439 0.0454065 -0.0422775)) ((-0.029219 -0.171688 -0.00220885) (0.00428737 -0.0662703 -0.031423)))
1.3	(((1.4573 -0.175049 0.204411) (0.421274 0.0633017 -0.0509698)) ((-0.022062 -0.142188 -0.0016674) (0.00615595 -0.0627338 -0.0300711)))
1.4	(((1.1545 -0.114093 0.174557) (0.382996 0.0777838 -0.0572629)) ((-0.0158885 -0.114055 -0.00116497) (0.00772696 -0.0577222 -0.0273637)))
1.5	(((0.900357 -0.0716816 0.142893) (0.341298 0.0877631 -0.0622069)) ((-0.0113171 -0.0903195 -0.00073529) (0.00881603 -0.0521501 -0.0240715)))
1.6	(((0.718516 -0.0557737 0.124862) (0.301807 0.0931748 -0.0660419)) ((-0.009261 -0.0731297 -0.000293646) (0.00938679 -0.0467705 -0.0207572)))
1.7	(((0.614342 -0.0587729 0.120175) (0.268642 0.0947765 -0.0687358)) ((-0.00911691 -0.0630216 0.000121093) (0.00952921 -0.042148 -0.0178154)))
1.8	(((0.580508 -0.0704971 0.123513) (0.244136 0.0939636 -0.0704908)) ((-0.0099193 -0.0593793 0.000437086) (0.00939802 -0.0386219 -0.0155061)))
1.9	(((0.601701 -0.084429 0.130194) (0.229081 0.0920829 -0.0715896)) ((-0.0110526 -0.06084 0.000631821) (0.00914488 -0.0363278 -0.0139576)))
2	(((0.659778 -0.0974996 0.137408) (0.222824 0.0899925 -0.0723198)) ((-0.0122079 -0.0657637 0.000679167) (0.00886767 -0.0352118 -0.0131651)))
2.1	(((0.736775 -0.10868 0.143435) (0.223828 0.0880846 -0.0729472)) ((-0.0132477 -0.0725086 0.000579825) (0.0086081 -0.035092 -0.013021)))
2.2	(((0.818202 -0.11687 0.147258) (0.229593 0.0864482 -0.0736836)) ((-0.0140517 -0.0797159 0.000391981) (0.00837546 -0.0356707 -0.0133663)))
2.3	(((0.892 -0.121326 0.148447) (0.238165 0.0850613 -0.0746641)) ((-0.0145344 -0.0862936 0.000201141) (0.00816716 -0.0366785 -0.0140347)))
2.4	(((0.950518 -0.121496 0.146874) (0.247744 0.0839312 -0.075959)) ((-0.0146324 -0.0915243 6.37139e-06) (0.00798296 -0.0378645 -0.0148529)))
2.5	(((0.99073 -0.11753 0.142782) (0.256721 0.0830881 -0.0775678)) ((-0.0143454 -0.0951061 -0.000184478) (0.00782547 -0.0390111 -0.015672)))
2.6	(((1.01271 -0.110159 0.136735) (0.264012 0.0825425 -0.0794412)) ((-0.0137285 -0.0970214 -0.000365191) (0.00769637 -0.0399673 -0.0163833)))
2.7	(((1.01892 -0.100622 0.129511) (0.26908 0.0822728 -0.0815017)) ((-0.0128937 -0.0974876 -0.000537097) (0.0075952 -0.0406505 -0.016922)))
2.8	(((1.01319 -0.0902612 0.121919) (0.271886 0.0822002 -0.0836626)) ((-0.0119633 -0.096856 -0.000697437) (0.00751419 -0.0410418 -0.0172682)))
2.9	(((1.00003 -0.080264 0.114625) (0.272691 0.0822255 -0.0858358)) ((-0.0110491 -0.0955407 -0.000844861) (0.00744391 -0.0411665 -0.0174325)))
3	(((0.983643 -0.0714571 0.108132) (0.271972 0.0822396 -0.0879411)) ((-0.0102293 -0.0939263 -0.000980806) (0.00737374 -0.0410812 -0.0174486)))
3.1	(((0.967513 -0.0642959 0.102695) (0.270283 0.0821609 -0.0899112)) ((-0.00955261 -0.0923354 -0.00110762) (0.00729613 -0.0408558 -0.0173609)))
3.2	(((0.954142 -0.0589038 0.0983777) (0.268165 0.081935 -0.0917022)) ((-0.00903506 -0.0910011 -0.00122646) (0.00720612 -0.0405607 -0.0172171)))
3.3	(((0.944971 -0.0551034 0.0951067) (0.266076 0.08155 -0.09329)) ((-0.00866437 -0.0900565 -0.00133564) (0.00710331 -0.0402573 -0.0170595)))
3.4	(((0.940427 -0.0525922 0.0927109) (0.264346 0.081021 -0.0946667)) ((-0.00841614 -0.0895436 -0.00144036) (0.00699013 -0.0399918 -0.0169211)))
3.5	(((0.940121 -0.0509852 0.0909698) (0.263172 0.0803742 -0.0958359)) ((-0.00825625 -0.0894302 -0.00155072) (0.00686974 -0.0397932 -0.0168222)))
3.6	(((0.943272 -0.0499031 0.0896643) (0.262627 0.0796519 -0.0968117)) ((-0.00815054 -0.0896462 -0.00165979) (0.00674708 -0.0396746 -0.0167736)))
3.7	(((0.948875 -0.0490586 0.0886113) (0.262677 0.0789005 -0.0976132)) ((-0.00807231 -0.0900982 -0.00176088) (0.00662749 -0.0396348 -0.0167759)))
3.8	(((0.955687 -0.0482214 0.0876524) (0.263224 0.0781484 -0.0982604)) ((-0.00799851 -0.0906735 -0.0018637) (0.0065138 -0.0396632 -0.0168231)))
3.9	(((0.962723 -0.047242 0.0866929) (0.264129 0.0774216 -0.0987724)) ((-0.00791437 -0.0912811 -0.00196218) (0.0064085 -0.0397433 -0.0169046)))
4	(((0.969193 -0.0460384 0.0856783) (0.265246 0.0767423 -0.0991687)) ((-0.00781063 -0.0918474 -0.00205439) (0.00631373 -0.0398564 -0.0170081)))
