# Time	X	Y	Z
0	0	0	0
0.1	0.000238629	-6.88983e-06	5.10481e-05
0.2	0.00111721	6.81903e-05	0.000184296
0.3	0.0028448	0.000404721	0.000340955
0.4	0.00541743	0.00106033	0.000482666
0.5	0.00861503	0.00194896	0.000594202
0.6	0.0120442	0.00291641	0.000660722
0.7	0.0152094	0.00381565	0.000665436
0.8	0.0175982	0.00454175	0.000596749
0.9	0.0187724	0.00503265	0.0004547
1	0.0184451	0.00524478	0.000251749
1.1	0.0167748	0.00509521	6.07443e-05
1.2	0.0143023	0.00459385	-6.99372e-05
1.3	0.0115608	0.00390046	-0.000170552
1.4	0.00898229	0.00317	-0.000255053
1.5	0.0068521	0.00251216	-0.000316471
1.6	0.00531689	0.00200079	-0.000348473
1.7	0.0044083	0.00167537	-0.000352795
1.8	0.00407114	0.00153856	-0.000336117
1.9	0.00419259	0.00156146	-0.000306687
2	0.00463166	0.00169715	-0.000271988
2.1	0.00524477	0.00189462	-0.000238032
2.2	0.00590526	0.00210894	-0.000208861
2.3	0.00651439	0.00230685	-0.000187273
2.4	0.00700681	0.00246773	-0.000174302
2.5	0.00735073	0.00258212	-0.000169282
2.6	0.00754321	0.0026495	-0.000170567
2.7	0.00760291	0.00267551	-0.000176171
2.8	0.00756146	0.00266943	-0.000184218
2.9	0.0074556	0.00264207	-0.000192997
3	0.00732074	0.0026041	-0.000201159
3.1	0.00718648	0.00256474	-0.000207799
3.2	0.00707414	0.00253092	-0.000212448
3.3	0.00699627	0.00250701	-0.000215047
3.4	0.00695726	0.00249481	-0.000215812
3.5	0.00695498	0.00249402	-0.000215131
3.6	0.00698283	0.00250284	-0.000213473
3.7	0.00703187	0.00251854	-0.000211314
3.8	0.00709262	0.00253821	-0.000209065
3.9	0.00715643	0.00255912	-0.00020703
4	0.00721645	0.00257906	-0.000205405
